Variable,row,age,sex,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52,b53,b54,b55,b56,b57,b58,b59,b60,b61,b62,b63,b64,b65,b66,b67,b68,b69,b70,b71,b72,b73,b74,b75,b76,b77,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,maharat,roshd,khodpeiravi,ertebatm,rezayat,manaviat,shadi,behzisti,maharat ej,raftar gheir ej,parkhash,bartari,rabete hamsal
,18,,1,3,3,1,2,2,1,3,1,1,3,3,3,2,1,3,1,3,2,2,3,2,1,1,3,1,3,2,2,3,3,3,1,2,2,3,3,3,1,1,2,2,5,2,3,3,1,3,3,1,3,2,2,2,3,3,1,3,3,2,2,2,3,1,2,3,2,1,3,3,2,3,3,3,3,2,1,3,4,3,3,5,3,2,5,3,4,3,5,3,4,2,4,5,4,5,2,5,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,4,3,4,5,4,4,5,1,1,4,2,4,1,1,4,147,19,30,17,42,21,46,174,67,20,13,24,23
,19,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,5,1,1,5,5,1,1,1,1,5,1,1,1,1,1,5,1,1,5,1,1,1,1,1,1,5,1,1,1,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,1,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,5,4,1,5,1,1,5,1,5,1,1,5,153,12,25,12,27,16,35,128,86,16,13,13,25
,20,,1,1,1,1,2,2,4,3,1,1,1,4,1,2,2,1,2,3,5,1,5,1,1,1,5,3,1,1,1,4,4,1,1,1,1,2,3,1,1,1,1,2,4,1,4,2,1,1,1,1,5,1,1,1,1,4,5,1,2,4,1,1,1,1,1,1,2,1,1,4,1,4,5,1,1,1,1,3,4,5,5,4,5,5,5,4,4,3,5,2,5,4,5,5,4,5,1,1,1,2,1,1,1,2,1,1,4,1,3,1,1,1,2,1,1,1,3,1,3,4,2,1,4,3,1,5,2,4,5,1,4,2,5,5,162,17,28,12,27,25,41,151,79,16,19,15,33
,21,,1,3,1,1,1,1,1,1,1,1,2,3,2,3,2,1,1,1,5,3,3,1,1,1,5,1,3,1,1,5,5,1,1,1,1,5,1,1,1,1,5,1,2,2,4,1,1,1,1,1,5,1,1,5,3,3,2,4,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,4,1,5,5,5,5,1,5,5,5,5,5,5,5,5,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,1,1,1,5,1,1,5,1,1,1,5,5,140,14,23,13,31,19,46,147,80,11,14,10,25
,22,,1,2,3,2,2,1,2,2,1,3,2,3,2,3,2,1,1,2,4,4,3,2,2,3,4,3,3,3,2,4,3,2,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,1,4,4,2,5,4,4,5,5,4,4,4,4,5,5,2,2,5,4,2,1,1,1,1,1,1,1,2,3,1,2,1,2,1,3,2,1,1,1,1,4,1,1,2,1,3,3,1,4,5,3,1,4,2,3,2,2,2,142,24,28,19,51,31,55,208,70,15,19,14,24
,23,,1,1,1,1,1,3,1,5,1,5,1,1,1,5,1,1,5,1,5,5,1,5,5,1,1,5,5,1,3,1,5,5,1,5,5,1,5,1,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,5,1,1,5,1,5,1,1,1,1,3,1,3,1,2,2,1,4,4,4,1,1,1,1,5,1,3,4,5,5,1,5,5,1,4,5,5,5,1,5,5,1,4,1,1,1,1,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,5,5,1,1,2,1,5,3,124,20,17,26,44,26,50,184,65,14,13,8,24
,24,,1,3,3,2,3,4,1,3,1,3,3,3,4,2,1,1,2,3,3,3,3,3,3,3,4,2,3,1,5,4,3,3,3,3,5,2,1,2,1,2,3,4,4,3,3,3,1,1,3,1,5,1,2,3,1,2,3,3,3,3,1,3,2,3,3,2,3,1,1,2,2,1,2,4,3,2,1,3,5,5,5,5,3,3,3,4,5,4,5,3,3,5,3,5,3,3,3,1,1,1,1,1,1,1,1,1,3,1,5,4,1,1,3,1,1,1,1,1,1,3,2,1,1,1,1,5,3,3,5,1,4,1,3,5,147,25,25,26,49,31,41,195,72,15,21,9,30
,25,,1,4,3,2,2,2,2,2,1,2,2,3,1,4,2,1,2,2,3,4,5,2,2,2,5,4,4,1,1,2,4,2,1,2,2,2,2,3,2,1,3,3,1,3,4,3,1,2,1,1,1,4,3,2,3,4,2,2,5,5,2,1,3,1,2,2,1,1,2,2,3,2,2,3,3,3,1,3,5,4,5,4,4,4,5,4,5,4,5,4,4,5,4,5,5,4,4,1,2,1,2,2,1,2,2,2,4,1,1,1,2,1,1,1,1,1,2,1,1,4,1,1,4,1,1,2,1,1,4,1,2,1,2,4,147,22,34,18,44,18,48,183,80,23,14,12,18
,26,,1,3,2,1,1,2,2,1,1,1,3,2,3,2,2,2,1,2,3,3,5,1,1,2,3,2,2,2,2,4,5,3,2,2,1,2,3,3,2,3,2,3,3,2,2,2,1,2,2,2,2,3,2,2,3,2,4,2,1,3,2,2,2,1,1,2,1,1,3,3,1,2,2,2,2,3,1,2,4,5,5,5,5,3,5,5,4,3,5,4,4,3,3,5,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,1,1,5,1,1,4,1,3,1,1,3,129,19,26,14,42,24,40,165,76,11,14,8,20
,27,,1,1,5,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,4,1,1,1,5,1,1,1,1,4,1,1,1,1,1,3,2,1,1,1,1,1,5,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,5,4,4,4,5,4,5,5,5,4,5,4,5,4,5,5,4,3,2,4,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,5,4,3,5,4,5,5,1,1,4,4,4,1,1,5,162,12,23,8,24,18,29,114,80,15,15,26,26
